"species_id","common_name","scientific_name","species_num_cd"
"CIMB","Cinnamon Becard","Pachyramphus cinnamomeus",NA
"CIRB","Cinereous Becard","Pachyramphus rufus",NA
"CITE","Cinnamon Teal","Anas cyanoptera",141
"CITR","Citreoline Trogon","Trogon citreolus",NA
"CIWA","Citrine Wagtail","Motacilla citreola",NA
"CIWO","Cinnamon Woodpecker","Celeus loricatus",NA
"CLGR","Clark's Grebe","Aechmophorus clarkii",1.1
"CLNU","Clark's Nutcracker","Nucifraga columbiana",491
"CLRA","Clapper Rail","Rallus longirostris",211
"CLSW","Cliff Swallow","Petrochelidon pyrrhonota",612
"CLWR","Clarion Wren","Troglodytes tanneri",NA
"CMTO","Chestnut-mandibled Toucan","Ramphastos swainsonii",NA
"CMWA","Cape May Warbler","Dendroica tigrina",650
"COAR","Collared Aracari","Pteroglossus torquatus",NA
"COBH","Common Black-Hawk","Buteogallus anthracinus",NA
"COBT","Common Bush-Tanager","Chlorospingus ophthalmicus",NA
"COBU","Common Bushtit","Psaltriparus minimus",NA
"COCA","Common Canary","Serinus canaria",533.1
"COCC","Cocos Cuckoo","Coccyzus ferrugineus",NA
"COCF","Cocos Flycatcher","Nesotriccus ridgwayi",NA
"COCH","Common Chaffinch","Fringilla coelebs",514.3
"COCT","Cocoa Thrush","Turdus fumigatus",NA
"COCU","Common Cuckoo","Cuculus canorus",388.2
"CODU","Comb Duck","Sarkidiornis melanotos",NA
"COEI","Common Eider","Somateria mollissima",159
"COEM","Cozumel Emerald","Chlorostilbon forficatus",NA
"COFF","Collared Forest-Falcon","Micrastur semitorquatus",NA
"COFI","Cocos Finch","Pinaroloxias inornata",NA
"COFL","Cordilleran Flycatcher","Empidonax occidentalis",464
"COGD","Common Ground-Dove","Columbina passerina",320
"COGO","Common Goldeneye","Bucephala clangula",151
"COGR","Common Grackle","Quiscalus quiscula",511
"COHA","Cooper's Hawk","Accipiter cooperii",333
"COHE","Cocoi Heron","Ardea cocoi",NA
"COHM","Common House-Martin","Delichon urbicum",615.2
"COHU","Costa's Hummingbird","Calypte costae",430
"COKI","Couch's Kingbird","Tyrannus couchii",446.1
"COLC","Colombian Crake","Neocrex colombiana",NA
"COLO","Common Loon","Gavia immer",7
"COLR","Collared Redstart","Myioborus torquatus",NA
"COLW","Colima Warbler","Vermivora crissalis",647.1
"COMC","Common Crane","Grus grus",NA
"COME","Common Merganser","Mergus merganser",129
"COMG","Common Greenshank","Tringa nebularia",253
"COMO","Common Moorhen","Gallinula chloropus",219
"COMR","Common Redshank","Tringa totanus",253.1
"COMU","Common Murre","Uria aalge",30
"COMW","Common Waxbill","Estrilda astrild",808.1
"COMY","Common Myna","Acridotheres tristis",493.2
"CONI","Common Nighthawk","Chordeiles minor",420
"CONW","Connecticut Warbler","Oporornis agilis",678
"COOP","Cook's Petrel","Pterodroma cookii",98.3
"COPA","Common Pauraque","Nyctidromus albicollis",419
"COPL","Collared Plover","Charadrius collaris",NA
"COPO","Common Poorwill","Phalaenoptilus nuttallii",418
"CORA","Common Raven","Corvus corax",486
"CORC","Corn Crake","Crex crex",217
"CORE","Common Redpoll","Carduelis flammea",528
"CORO","Common Rosefinch","Carpodacus erythrinus",516.1
"COSA","Common Sandpiper","Actitis hypoleucos",263.1
"COSH","Cory's Shearwater","Calonectris diomedea",88
"COSN","Common Snipe","Gallinago gallinago",NA
"COSW","Common Swift","Apus apus",424.2
"COTE","Common Tern","Sterna hirundo",70
"COTF","Common Tody-Flycatcher","Todirostrum cinereum",NA
"COTO","Collared Towhee","Pipilo ocai",NA
"COTR","Collared Trogon","Trogon collaris",NA
"COVI","Cozumel Vireo","Vireo bairdi",NA
"COWO","Cocoa Woodcreeper","Xiphorhynchus susurrans",NA
"COYE","Common Yellowthroat","Geothlypis trichas",681
"COZT","Cozumel Thrasher","Toxostoma guttatum",NA
"CPAK","Cuban Parakeet","Aratinga euops",NA
"CPAT","Cuban Parrot","Amazona leucocephala",NA
"CPEA","Common Peafowl","Pavo cristatus",NA
"CPOC","Common Pochard","Aythya ferina",146.1
"CPOT","Common Potoo","Nyctibius griseus",NA
"CPYO","Colima Pygmy-Owl","Glaucidium palmarum",NA
"CRAU","Crested Auklet","Aethia cristatella",18
"CRBO","Crested Bobwhite","Colinus cristatus",NA
"CRCA","Crested Caracara","Caracara cheriway",362
"CREA","Crested Eagle","Morphnus guianensis",NA
"CRGU","Crested Guan","Penelope purpurascens",NA
"CRHA","Crane Hawk","Geranospiza caerulescens",NA
"CRMU","Craveri's Murrelet","Synthliboramphus craveri",26
"CRMY","Crested Myna","Acridotheres cristatellus",493.1
"CROR","Crested Oropendola","Psarocolius decumanus",NA
"CROW","Crested Owl","Lophostrix cristata",NA
"CRPL","Common Ringed Plover","Charadrius hiaticula",275
"CRPO","Costa Rican Pygmy-Owl","Glaucidium costaricanum",NA
"CRQD","Crested Quail-Dove","Geotrygon versicolor",NA
"CRSW","Costa Rican Swift","Chaetura fumosa",NA
"CRTH","Crissal Thrasher","Toxostoma crissale",712
"CSSS","Cape Sable Seaside-Sparrow","Ammodramus m. mirabilis",551.1
"CSSV","Chestnut-sided Shrike-Vireo","Vireolanius melitophrys",NA
"CSWA","Chestnut-sided Warbler","Dendroica pensylvanica",659
"CTAN","Checker-throated Antwren","Myrmotherula fulviventris",NA
"CTSP","Cinnamon-tailed Sparrow","Aimophila sumichrasti",NA
"CUBL","Cuban Blackbird","Dives atroviolaceus",NA
"CUBM","Cuban Macaw","Ara tricolor",NA
"CUBU","Cuban Bullfinch","Melopyrrha nigra",NA
"CUCR","Cuban Crow","Corvus nasicus",NA
"CUEM","Cuban Emerald","Chlorostilbon ricordii",NA
"CUGN","Cuban Gnatcatcher","Polioptila lembeyei",NA
"CUGR","Cuban Grassquit","Tiaris canorus",603.1
"CUMA","Cuban Martin","Progne cryptoleuca",611.1
"CUPE","Cuban Pewee","Contopus caribaeus",462.1
"CUPO","Cuban Pygmy-Owl","Glaucidium siju",NA
"CUSA","Curlew Sandpiper","Calidris ferruginea",244
"CUSO","Cuban Solitaire","Myadestes elisabeth",NA
"CUTO","Cuban Tody","Todus multicolor",NA
"CUTR","Cuban Trogon","Priotelus temnurus",NA
"CUVI","Cuban Vireo","Vireo gundlachii",NA
"CVSH","Cape Verde Shearwater","Calonectris edwardsii",NA
"CWWI","Chuck-will's-widow","Caprimulgus carolinensis",416
"DAPE","Dark Pewee","Contopus lugubris",NA
"DBCU","Dark-billed Cuckoo","Coccyzus melacoryphus",NA
"DBGR","Double-banded Graytail","Xenerpestes minlosi",NA
"DBJA","Dusky-backed Jacamar","Brachygalba salmoni",NA
"DCCO","Double-crested Cormorant","Phalacrocorax auritus",120
"DCFL","Dusky-capped Flycatcher","Myiarchus tuberculifer",455
"DEJU","Dark-eyed Junco","Junco hyemalis",NA
"DFTA","Dusky-faced Tanager","Mitrospingus cassinii",NA
"DICK","Dickcissel","Spiza americana",604
"DMAN","Dull-mantled Antbird","Myrmeciza laemosticta",NA
"DOVE","Dovekie","Alle alle",34
"DOWO","Downy Woodpecker","Picoides pubescens",394
"DSFL","Dark-sided Flycatcher","Muscicapa sibirica",NA
"DSTK","Double-striped Thick-knee","Burhinus bistriatus",NA
"DTKI","Double-toothed Kite","Harpagus bidentatus",NA
"DUAN","Dusky Antbird","Cercomacra tyrannina",NA
"DUFL","Dusky Flycatcher","Empidonax oberholseri",469
"DUGR","Dusky Grouse","Dendragapus obscurus",NA
"DUHU","Dusky Hummingbird","Cynanthus sordidus",NA
"DUNI","Dusky Nightjar","Caprimulgus saturatus",NA
"DUNL","Dunlin","Calidris alpina",243
"DUSS","Dusky Seaside-Sparrow","Ammodramus m. nigrescens",NA
"DUTH","Dusky Thrush","Turdus naumanni",761.4
"DUWA","Dusky Warbler","Phylloscopus fuscatus",747.4
"DWAN","Dot-winged Antwren","Microrhopias quixensis",NA
"DWJA","Dwarf Jay","Cyanolyca nana",NA
"DWVI","Dwarf Vireo","Vireo nelsoni",NA
"EABL","Eastern Bluebird","Sialia sialis",766
"EACT","Eastern Chat-Tanager","Calyptophilus frugivorus",NA
"EADO","Eared Dove","Zenaida auriculata",NA
"EAGR","Eared Grebe","Podiceps nigricollis",4
"EAKI","Eastern Kingbird","Tyrannus tyrannus",444
"EAME","Eastern Meadowlark","Sturnella magna",501
"EAPH","Eastern Phoebe","Sayornis phoebe",456
"EAPO","Eared Poorwill","Nyctiphrynus mcleodii",NA
"EAQU","Eared Quetzal","Euptilotis neoxenus",NA
"EASO","Eastern Screech-Owl","Megascops asio",373
"EATO","Eastern Towhee","Pipilo erythrophthalmus",587
"EAWP","Eastern Wood-Pewee","Contopus virens",461
"ECHU","Emerald-chinned Hummingbird","Abeillia abeillei",NA
"EGWT","Eurasian Green-winged Teal","Anas c. crecca",138
"EHOB","Eurasian Hobby","Falco subbuteo",NA
"EHOO","Eurasian Hoopoe","Upupa epops",NA
"ELEP","Elepaio","Chasiempis sandwichensis",770
"ELEU","Elegant Euphonia","Euphonia elegantissima",NA
"ELOW","Elf Owl","Micrathene whitneyi",381
"ELQU","Elegant Quail","Callipepla douglasii",107.8
"ELTE","Elegant Tern","Thallasseus elegans",66
"ELTR","Elegant Trogon","Trogon elegans",389
"EMGO","Emperor Goose","Chen canagica",176
"EMTA","Emerald Tanager","Tangara florida",NA
"EMTO","Emerald Toucanet","Aulacorhynchus prasinus",NA
"ERFL","Eye-ringed Flatbill","Rhynchocyclus brevirostris",NA
"ERFR","Erckel's Francolin","Francolinus erckelii",NA
"ESCU","Eskimo Curlew","Numenius borealis",266
"ETSP","Eurasian Tree Sparrow","Passer montanus",688.3
"EUBL","Eurasian Blackbird","Turdus merula",761.1
"EUBU","Eurasian Bullfinch","Pyrrhula pyrrhula",516
"EUCD","Eurasian Collared-Dove","Streptopelia decaocto",NA
"EUCO","Eurasian Coot","Fulica atra",220
"EUCU","Eurasian Curlew","Numenius arquata",264.1
"EUDO","Eurasian Dotterel","Charadrius morinellus",269.1
"EUFL","Euler's Flycatcher","Lathrotriccus euleri",NA
"EUGO","European Goldfinch","Carduelis carduelis",526.1
"EUGP","European Golden-Plover","Pluvialis apricaria",271
"EUJA","Eurasian Jackdaw","Corvus monedula",NA
"EUKE","Eurasian Kestrel","Falco tinnunculus",359.1
"EUOY","Eurasian Oystercatcher","Haematopus ostralegus",285
"EUSI","Eurasian Siskin","Carduelis spinus",NA
"EUSP","European Storm-Petrel","Hydrobates pelagicus",104
"EUST","European Starling","Sturnus vulgaris",493
"EUTD","European Turtle-Dove","Streptopelia turtur",NA
"EUWI","Eurasian Wigeon","Anas penelope",136
"EUWO","Eurasian Woodcock","Scolopax rusticola",227
"EUWR","Eurasian Wryneck","Jynx torquilla",NA
"EVGR","Evening Grosbeak","Coccothraustes vespertinus",514
"EWCS","Eastern White-crowned Sparrow","Zonotrichia l. leucophrys",554.1
"EWWA","Elfin-woods Warbler","Dendroica angelae",658.1
"EYTH","Eyebrowed Thrush","Turdus obscurus",NA
"EYWA","Eastern Yellow Wagtail","Motacilla tschutschensis",NA
"FAAN","Fasciated Antshrike","Cymbilaimus lineatus",NA
"FADU","Falcated Duck","Anas falcata",137.1
"FBAR","Fiery-billed Aracari","Pteroglossus frantzii",NA
"FBVI","Flat-billed Vireo","Vireo nanus",NA
"FCTA","Flame-colored Tanager","Piranga bidentata",607.1
"FECU","Far Eastern Curlew","Numenius madagascariensis",NA
"FEFL","Fernandina's Flicker","Colaptes fernandinae",NA
"FEHA","Ferruginous Hawk","Buteo regalis",348
"FEPO","Ferruginous Pygmy-Owl","Glaucidium brasilianum",380
"FFSH","Flesh-footed Shearwater","Puffinus carneipes",95.1
"FGSP","Florida Grasshopper Sparrow","Ammodramus s. floridanus",546.4
"FICR","Fish Crow","Corvus ossifragus",490
"FIEL","Fieldfare","Turdus pilaris",761.2
"FISP","Field Sparrow","Spizella pusilla",563
"FLFL","Flammulated Flycatcher","Deltarhynchus flammulatus",NA
"FLIN","Hybrid Flicker","",412.5
"FLOW","Flammulated Owl","Otus flammeolus",374
"FLSJ","Florida Scrub-Jay","Aphelocoma coerulescens",479
"FOEL","Forest Elaenia","Myiopagis gaimardii",NA
"FOSP","Fox Sparrow","Passerella iliaca",585
"FOTE","Forster's Tern","Sterna forsteri",69
"FOTH","Forest Thrush","Cichlherminia lherminieri",NA
"FRGU","Franklin's Gull","Larus pipixcan",59
"FRTA","Flame-rumped Tanager","Ramphocelus flammigerus",NA
"FSSP","Five-striped Sparrow","Aimophila quinquestriata",574.2
"FTFL","Fork-tailed Flycatcher","Tyrannus savana",442
"FTHE","Fasciated Tiger-Heron","Tigrisoma fasciatum",NA
"FTHU","Fiery-throated Hummingbird","Panterpe insignis",NA
"FTHW","Flame-throated Warbler","Parula gutturalis",NA
"FTSP","Fork-tailed Storm-Petrel","Oceanodroma furcata",105
"FTSW","Fork-tailed Swift","Apus pacificus",424.1
"FTWA","Fan-tailed Warbler","Euthlypis lachrymosa",688.1
"FUOW","Fulvous Owl","Strix fulvescens",NA
"FUWD","Fulvous Whistling-Duck","Dendrocygna bicolor",178
"FVEU","Fulvous-vented Euphonia","Euphonia fulvicrissa",NA
"GABU","Greater Antillean Bullfinch","Loxigilla violacea",917.8
"GADW","Gadwall","Anas strepera",135
"GAEL","Greater Antillean Elaenia","Elaenia fallax",910.1
"GAEM","Garden Emerald","Chlorostilbon assimilis",NA
"GAGR","Greater Antillean Grackle","Quiscalus niger",513.1
"GAGT","Gray-and-gold Tanager","Tangara palmeri",NA
"GAKI","Greater Akialoa","Hemignathus ellisianus",NA
"GANI","Greater Antillean Nightjar","Caprimulgus cubanensis",NA
"GANT","Great Antshrike","Taraba major",NA
"GAOR","Greater Antillean Oriole","Icterus dominicensis",NA
"GAPE","Galapagos Petrel","Pterodroma phaeopygia",98.5
"GAQU","Gambel's Quail","Callipepla gambelii",295
"GARG","Garganey","Anas querquedula",139.2
"GARK","Green-and-rufous Kingfisher","Chloroceryle inda",NA
"GATH","Garnet-throated Hummingbird","Lamprolaima rhami",NA
"GBAN","Groove-billed Ani","Crotophaga sulcirostris",384
"GBAT","Gray-backed Tern","Onychoprion lunatus",NA
"GBBG","Great Black-backed Gull","Larus marinus",47
"GBCH","Golden-browed Chlorophonia","Chlorophonia callophrys",NA
"GBCR","Gray-breasted Crake","Laterallus exilis",NA
"GBFL","Golden-bellied Flycatcher","Myiodynastes hemichrysus",NA
"GBHE","Great Blue Heron","Ardea herodias",194
"GBMG","Green-breasted Mountain-gem","Lampornis sybillae",NA
"GBSP","Green-backed Sparrow","Arremonops chloronotus",853.8
"GBTE","Gull-billed Tern","Gelochelidon nilotica",63
"GBWA","Golden-browed Warbler","Basileuterus belli",NA
"GBWO","Gray-breasted Woodpecker","Melanerpes hypopolius",NA
"GBWR","Gray-barred Wren","Campylorhynchus megalopterus",NA
"GBWW","Gray-breasted Wood-Wren","Henicorhina leucophrys",NA
"GCAF","Gray-capped Flycatcher","Myiozetetes granadensis",NA
"GCAT","Grand Cayman Thrush","Turdus ravidus",NA
"GCBE","Gray-collared Becard","Pachyramphus major",NA
"GCBR","Green-crowned Brilliant","Heliodoxa jacula",NA
"GCBT","Gray-cheeked/Bicknell's Thrush","Catharus minimus x bickn.",757.9
"GCDO","Gray-chested Dove","Leptotila cassini",NA
"GCEM","Golden-crowned Emerald","Chlorostilbon auriceps",NA
"GCFL","Great Crested Flycatcher","Myiarchus crinitus",452
"GCHW","Golden-cheeked Woodpecker","Melanerpes chrysogenys",NA
"GCKI","Golden-crowned Kinglet","Regulus satrapa",748
"GCMA","Golden-collared Manakin","Manacus vitellinus",NA
"GCNU","Gray-cheeked Nunlet","Nonnula ruficapilla",NA
"GCPT","Gray-crowned Palm-Tanager","Phaenicophilus poliocephalus",NA
"GCRF","Gray-crowned Rosy-Finch","Leucosticte tephrocotis",524
"GCRS","Golden-crowned Spadebill","Platyrinchus coronatus",NA
"GCRW","Golden-crowned Warbler","Basileuterus culicivorus",692
"GCSP","Golden-crowned Sparrow","Zonotrichia atricapilla",557
"GCTE","Great Crested Tern","Thallasseus bergii",NA
"GCTH","Gray-cheeked Thrush","Catharus minimus",757
"GCWA","Golden-cheeked Warbler","Dendroica chrysoparia",666
"GCYE","Gray-crowned Yellowthroat","Geothlypis poliocephala",682.1
"GFGR","Golden-fronted Greenlet","Hylophilus aurantiifrons",NA
"GFHU","Green-fronted Hummingbird","Amazilia viridifrons",NA
"GFLA","Greater Flamingo","Phoenicopterus ruber",NA
"GFLY","Grenada Flycatcher","Myiarchus nugator",NA
"GFQD","Gray-fronted Quail-Dove","Geotrygon caniceps",NA
"GFRI","Great Frigatebird","Fregata minor",NA
"GFRL","Green-fronted Lancebill","Doryfera ludovicae",NA
"GFWO","Golden-fronted Woodpecker","Melanerpes aurifrons",410
"GGMA","Great Green Macaw","Ara ambiguus",NA
"GGOW","Great Gray Owl","Strix nebulosa",370
"GGWO","Golden-green Woodpecker","Piculus chrysochloros",NA
"GHCH","Gray-headed Chickadee","Poecile cincta",NA
"GHDO","Gray-headed Dove","Leptotila plumbeiceps",NA
"GHEC","Gray-headed Chachalaca","Ortalis cinereiceps",NA
"GHET","Gray-headed Tanager","Eucometis penicillata",NA
"GHGU","Gray-hooded Gull","Larus cirrocephalus",NA
"GHJU","Gray-headed Junco","Junco h. caniceps",569
"GHKI","Gray-headed Kite","Leptodon cayanensis",NA
"GHMA","Golden-headed Manakin","Pipra erythrocephala",NA
"GHOT","Golden-hooded Tanager","Tangara larvata",NA
"GHOW","Great Horned Owl","Bubo virginianus",375
"GHPI","Gray-headed Piprites","Piprites griseiceps",NA
"GHQU","Golden-headed Quetzal","Pharomachrus auriceps",NA
"GICO","Giant Cowbird","Molothrus oryzivorus",NA
"GIFL","Gilded Flicker","Colaptes chrysoides",414
"GIKI","Giant Kingbird","Tyrannus cubensis",NA
"GIWO","Gila Woodpecker","Melanerpes uropygialis",411
"GIWR","Giant Wren","Campylorhynchus chiapensis",NA
"GJAC","Great Jacamar","Jacamerops aureus",NA
"GKIN","Green Kingfisher","Chloroceryle americana",391
"GKIS","Great Kiskadee","Pitangus sulphuratus",449
"GLGU","Glaucous Gull","Larus hyperboreus",42
"GLIB","Glossy Ibis","Plegadis falcinellus",186
"GLTH","Glow-throated Hummingbird","Selasphorus ardens",NA
"GMAG","Green Mango","Anthracothorax viridis",NA
"GMAK","Green Manakin","Chloropipo holochlora",NA
"GNBM","Green-breasted Mango","Anthracothorax prevostii",NA
"GNCW","Green-crowned Woodnymph","Thalurania fannyi",NA
"GNLA","Greater Necklaced Laughingthrush","Garrulax pectoralis",NA
"GNTA","Green-naped Tanager","Tangara fucosa",NA
"GNWO","Golden-naped Woodpecker","Melanerpes chrysauchen",NA
"GNWR","Gray-necked Wood-Rail","Aramides cajanea",NA
"GOCF","Golden-crowned Flycatcher","Myiodynastes chrysocephalus",NA
"GOEA","Golden Eagle","Aquila chrysaetos",349
"GOSW","Golden Swallow","Tachycineta euchrysea",NA
"GOVI","Golden Vireo","Vireo hypochryseus",NA
"GOWO","Golden-olive Woodpecker","Piculus rubiginosus",NA
"GRAE","Gray Elaenia","Myiopagis caniceps",NA
"GRAF","Gray Francolin","Francolinus pondicerianus",NA
"GRAH","Gray Heron","Ardea cinerea",NA
"GRAJ","Gray Jay","Perisoreus canadensis",484
"GRAK","Gray Kingbird","Tyrannus dominicensis",445
"GRAM","Greater Amakihi","Hemignathus sagittirostris",NA
"GRAP","Gray Partridge","Perdix perdix",288.1
"GRAS","Grayish Saltator","Saltator coerulescens",NA
"GRAT","Gray Thrasher","Toxostoma cinereum",76.1
"GRAU","Great Auk","Pinguinus impennis",NA
"GRAW","Gray Wagtail","Motacilla cinerea",696.1
"GRBH","Great Black-Hawk","Buteogallus urubitinga",NA
"GRBU","Gray Bunting","Emberiza variabilis",535.3
"GRCA","Gray Catbird","Dumetella carolinensis",704
"GRCO","Great Cormorant","Phalacrocorax carbo",119
"GRCU","Great Curassow","Crax rubra",NA
"GRDO","Grenada Dove","Leptotila wellsi",NA
"GREG","Great Egret","Ardea alba",196
"GREH","Green Hermit","Phaethornis guy",NA
"GREJ","Green Jay","Cyanocorax yncas",483
"GREL","Greenish Elaenia","Myiopagis viridicata",471.1
"GREP","Green Parakeet","Aratinga holochlora",NA
"GRET","Green Thorntail","Discosura conversii",NA
"GRFH","Gray Frog-Hawk","Accipiter soloensis",NA
"GRFL","Gray Flycatcher","Empidonax wrightii",469.1
"GRGU","Gray Gull","Larus modestus",NA
"GRHA","Gray Hawk","Buteo nitida",346
"GRHE","Green Heron","Butorides virescens",201
"GRHO","Green Honeycreeper","Chlorophanes spiza",NA
"GRIB","Green Ibis","Mesembrinibis cayennensis",NA
"GRKF","Greater Koa-Finch","Rhodacanthis palmeri",NA
"GRKN","Great Knot","Calidris tenuirostris",234.1
"GRLC","Great Lizard-Cuckoo","Coccyzus merlini",NA
"GRNI","Gray Nightjar","Caprimulgus indicus",NA
"GRPC","Greater Prairie-Chicken","Tympanuchus cupido",305
"GRPE","Greater Pewee","Contopus pertinax",460
"GRPO","Great Potoo","Nyctibius grandis",NA
"GRPU","Greenish Puffleg","Haplophaedia aureliae",NA
"GRRO","Greater Roadrunner","Geococcyx californianus",385
"GRSA","Green Sandpiper","Tringa ochropus",NA
"GRSC","Greater Scaup","Aythya marila",148
"GRSF","Gray Silky-flycatcher","Ptilogonys cinereus",NA
"GRSG","Greater Sage-Grouse","Centrocercus urophasianus",309
"GRSH","Greater Shearwater","Puffinus gravis",89
"GRSK","Great Skua","Stercocarius skua",35
"GRSP","Grasshopper Sparrow","Ammodramus savannarum",546
"GRSV","Green Shrike-Vireo","Vireolanius pulchellus",NA
"GRSW","Gray-rumped Swift","Chaetura cinereiventris",NA
"GRTA","Greater Ani","Crotophaga major",NA
"GRTI","Great Tinamou","Tinamus major",NA
"GRTR","Gray Trembler","Cinclocerthia gutturalis",NA
"GRUP","Green-rumped Parrotlet","Forpus passerinus",NA
"GRVE","Green Violet-ear","Colibri thalassinus",427.1
"GRVI","Gray Vireo","Vireo vicinior",634
"GRWA","Grace's Warbler","Dendroica graciae",664
"GRYE","Greater Yellowlegs","Tringa melanoleuca",254
"GRYF","Grassland Yellow-Finch","Sicalis luteola",NA
"GSAP","Greater Sand-Plover","Charadrius leschenaultii",NA
"GSBF","Green-striped Brush-Finch","Buarremon virenticeps",NA
"GSFL","Gray-streaked Flycatcher","Muscicapa griseisticta",773
"GSGB","Greater Snow Goose Blue-morph","Chen c. atlantica",NA
"GSGI","Greater Snow Goose Intermediate-morph","Chen c. atlantica",NA
"GSGW","Greater Snow Goose White-morph","Chen c. atlantica",NA
"GSTS","Great Swallow-tailed Swift","Panyptila sanctihieronymi",NA
"GSWO","Great Spotted Woodpecker","Dendrocopos major",NA
"GTCA","Green-throated Carib","Eulampis holosericeus",436.3
"GTCH","Gray-throated Chat","Granatellus sallaei",NA
"GTGR","Great-tailed Grackle","Quiscalus mexicanus",512
"GTLE","Gray-throated Leaftosser","Sclerurus albigularis",NA
"GTMG","Green-throated Mountain-gem","Lampornis viridipallens",NA
"GTTA","Gray-tailed Tattler","Tringa brevipes",NA
"GTTO","Green-tailed Towhee","Pipilo chlorurus",590
"GTWA","Green-tailed Warbler","Microligea palustris",NA
"GUCA","Guadalupe Caracara","Caracara lutosa",363
"GUHA","Gundlach's Hawk","Accipiter gundlachi",NA
"GUSG","Gunnison Sage-Grouse","Centrocercus minimus",NA
"GUSP","Guadalupe Storm-Petrel","Oceanodroma macrodactyla",106.1
"GUWO","Guadeloupe Woodpecker","Melanerpes herminieri",NA
"GWCS","Gambel's White-crowned Sparrow","Zonotrichia l. gambelii",555
"GWFG","Greater White-fronted Goose","Anser albifrons",171
"GWGU","Glaucous-winged Gull","Larus glaucescens",44
"GWHE","Great White Heron","Ardea h. occidentalis",192
"GWPE","Great-winged Petrel","Pterodroma macroptera",NA
"GWTE","Green-winged Teal","Anas crecca",NA
"GWWA","Golden-winged Warbler","Vermivora chrysoptera",642
"GYBM","Gray-breasted Martin","Progne chalybea",611.2
"GYCW","Gray-crowned Woodpecker","Piculus auricularis",NA
"GYRF","Gyrfalcon","Falco rusticolus",354
"HAAM","Hawaii Amakihi","Hemignathus virens",782
"HACO","Hawaiian Coot","Fulica alai",220.1
"HADU","Harlequin Duck","Histrionicus histrionicus",155
"HAEA","Harpy Eagle","Harpia harpyja",NA
"HAFL","Hammond's Flycatcher","Empidonax hammondii",468
"HAGO","Hawaiian Goose","Branta sandvicensis",175.1
"HALH","Harlan's Hawk","Buteo j. harlani",338
"HAMA","Hawaii Mamo","Drepanis pacifica",NA
"HAMO","Hawaiian Moorhen","Gallinula c. sandvicensis",219.1
"HAOO","Hawaii Oo","Moho nobilis",NA
"HAPE","Hawaiian Petrel","Pterodroma sandwichensis",NA
"HARA","Hawaiian Rail","Porzana sandwichensis",NA
"HASH","Harris's Hawk","Parabuteo unicinctus",335
"HASP","Harris's Sparrow","Zonotrichia querula",553
"HAST","Hawaiian Stilt","Himantopus m. melanurus",226.1
"HAWD","Hawaiian Duck","Anas wyvilliana",132.1
"HAWF","Hawfinch","Coccothraustes coccothraustes",514.2
"HAWH","Hawaiian Hawk","Buteo solitarius",NA
"HAWO","Hairy Woodpecker","Picoides villosus",393
"HAWR","Happy Wren","Thryothorus felix",NA
"HBKI","Hook-billed Kite","Chondrohierax uncinatus",327.1
"HCRE","Hawaii Creeper","Oreomystis mana",791
"HCRO","Hawaiian Crow","Corvus hawaiiensis",489.2
"HDFL","Hammond's/Dusky Flycatcher","Empidonax hammondii/oberho.",NA
"HEEG","Heermann's Gull","Larus heermanni",57
"HELG","Helmeted Guineafowl","Numida meleagris",NA
"HEPE","Herald Petrel","Pterodroma arminjoniana",98.6
"HERG","Herring Gull","Larus argentatus",51
"HESP","Henslow's Sparrow","Ammodramus henslowii",547
"HETA","Hepatic Tanager","Piranga flava",609
"HETH","Hermit Thrush","Catharus guttatus",759
"HEWA","Hermit Warbler","Dendroica occidentalis",669
"HICR","Hispaniolan Crossbill","Loxia megaplaga",NA
"HIEM","Hispaniolan Emerald","Chlorostilbon swainsonii",NA
"HIGU","Highland Guan","Penelopina nigra",NA
"HILC","Hispaniolan Lizard-Cuckoo","Coccyzus longirostris",NA
"HIMY","Hill Myna","Gracula religiosa",NA
"HIPE","Hispaniolan Pewee","Contopus hispaniolensis",462.4
"HISN","Himalayan Snowcock","Tetraogallus himalayensis",NA
"HISP","Hispaniolan Spindalis","Spindalis dominicensis",NA
"HITI","Highland Tinamou","Nothocercus bonapartei",NA
"HITR","Hispaniolan Trogon","Priotelus roseigaster",NA
"HIWO","Hispaniolan Woodpecker","Melanerpes striatus",NA
"HOEM","Honduran Emerald","Amazilia luciae",NA
"HOFI","House Finch","Carpodacus mexicanus",519
"HOGR","Horned Grebe","Podiceps auritus",3
"HOGU","Horned Guan","Oreophasis derbianus",NA
"HOLA","Horned Lark","Eremophila alpestris",474
"HOME","Hooded Merganser","Lophodytes cucullatus",131
"HOOG","Hooded Grosbeak","Coccothraustes abeillei",NA
"HOOR","Hooded Oriole","Icterus cucullatus",505
"HOPU","Horned Puffin","Fratercula corniculata",14
"HORE","Hoary Redpoll","Carduelis hornemanni",527
"HOSP","House Sparrow","Passer domesticus",688.2
"HOWA","Hooded Warbler","Wilsonia citrina",684
"HOWO","Hoffmann's Woodpecker","Melanerpes hoffmannii",NA
"HOWR","House Wren","Troglodytes aedon",721
"HOYE","Hooded Yellowthroat","Geothlypis nelsoni",NA
"HPAK","Hispaniolan Parakeet","Aratinga chloroptera",NA
"HPAT","Hispaniolan Parrot","Amazona ventralis",NA
"HUGO","Hudsonian Godwit","Limosa haemastica",251
"HUSA","Humboldt's Sapphire","Hylocharis humboldtii",NA
